"response_id","municipality","age_grp","response_type","eligibility","age","gender","race","hisp_lat","accessCare"
1,"CHARLOTTE","18-24 years","Web","Yes",24,"woman","White",0,1
2,"HUNTERSVILLE","45-64 years","Postcard","Yes",52,"woman","Asian",1,1
3,"MATTHEWS","65-84 years","Web","Yes",72,"woman","Black",0,0
4,"DAVIDSON","25-44 years","Postcard","Yes",31,"woman","Other",0,1
5,"CORNELIUS","25-44 years","Postcard","Yes",27,"man","White",0,1
6,"DAVIDSON","25-44 years","Web","Yes",33,"man","White",0,0
7,"DAVIDSON","65-84 years","Web","Yes",71,"man","White",0,1
8,"CORNELIUS","85+ years","Postcard","Yes",87,"woman","Prefer not to answer",1,1
9,"CHARLOTTE","45-64 years","Web","Yes",61,"man","Black",0,1
10,"HUNTERSVILLE","45-64 years","Web","Yes",62,"woman","Black",0,1
11,"CHARLOTTE","65-84 years","Postcard","Yes",73,"man","White",0,1
12,"MATTHEWS","65-84 years","Web","Yes",74,"man","Asian",1,0
13,"MATTHEWS","25-44 years","Web","Yes",38,"woman","Black",1,0
14,"CHARLOTTE","85+ years","Web","Yes",85,"woman","White",0,0
15,"DAVIDSON","65-84 years","Web","Yes",67,"man","White",0,0
16,"MATTHEWS","45-64 years","Postcard","Yes",50,"woman","White",0,0
17,"CHARLOTTE","18-24 years","Web","Yes",24,"man","White",0,0
18,"HUNTERSVILLE","85+ years","Web","Yes",87,"woman","Other",0,0
19,"MATTHEWS","25-44 years","Web","Yes",32,"woman","White",0,0
20,"CHARLOTTE","45-64 years","Postcard","Yes",49,"man","White",0,1
21,"DAVIDSON","25-44 years","Postcard","Yes",37,"woman","Black",0,0
22,"CHARLOTTE","25-44 years","Web","Yes",32,"woman","White",0,1
23,"MATTHEWS","65-84 years","Web","Yes",65,"woman","White",0,1
24,"CORNELIUS","85+ years","Postcard","Yes",88,"man","White",0,0
25,"MATTHEWS","25-44 years","Web","Yes",38,"man","AIAN",0,1
26,"HUNTERSVILLE","45-64 years","Web","Yes",59,"prefer not to answer","Black",0,1
27,"MINT HILL","25-44 years","Web","Yes",43,"man","White",0,0
28,"MINT HILL","25-44 years","Web","Yes",31,"woman","Other",0,0
29,"CHARLOTTE","65-84 years","Web","Yes",74,"woman","Other",0,0
30,"MINT HILL","45-64 years","Web","Yes",54,"woman","White",0,0
31,"CHARLOTTE","65-84 years","Postcard","Yes",75,"man","Black",0,0
32,"PINEVILLE","25-44 years","Postcard","Yes",38,"man","White",0,1
33,"CHARLOTTE","85+ years","Web","Yes",86,"woman","White",0,1
34,"CHARLOTTE","18-24 years","Postcard","Yes",20,"man","Asian",1,1
35,"CHARLOTTE","45-64 years","Web","Yes",54,"man","Asian",1,0
36,"DAVIDSON","65-84 years","Web","Yes",66,"man","Black",0,0
37,"CHARLOTTE","25-44 years","Postcard","Yes",36,"man","White",0,0
38,"DAVIDSON","25-44 years","Web","Yes",29,"woman","White",0,0
39,"CHARLOTTE","65-84 years","Web","Yes",78,"man","Black",0,0
40,"CHARLOTTE","45-64 years","Web","Yes",58,"man","White",0,1
41,"HUNTERSVILLE","45-64 years","Web","Yes",50,"man","White",0,0
42,"MINT HILL","65-84 years","Web","Yes",67,"woman","AIAN",0,1
43,"CHARLOTTE","85+ years","Web","Yes",85,"woman","White",0,0
44,"PINEVILLE","85+ years","Web","Yes",88,"man","Asian",1,1
